Name,Listed Effect In-game,Effect,PvP Alter,Duration,Notes
Starlight Shards,Use to gradually recover FP,Regenerates 2 FP/s for 60 seconds,,,
Lulling Branch,,Regenerates 5 FP and applies 20 sleep buildup every 2 seconds for 60 seconds; sleep triggered by this does not drain FP,,,
Blessing of Marika,,"Restores HP to full, cures all status effects, and removes all status effect buildup",,,
Neutralizing Boluses,Alleviates poison buildup and cures poison,Cures poison and removes buildup,,,
Preserving Boluses,Alleviates scarlet rot buildup and cures rot,Cures scarlet rot and removes buildup,,,
Stanching Boluses,Alleviates impending blood loss,Removes bleed buildup,,,
Thawfrost Boluses,Alleviates buildup of frost,Cures frost and removes buildup,,,
Stimulating Boluses,Alleviates buildup of sleep,Removes sleep buildup,,,
Clarifying Boluses,Alleviates madness buildup,Removes madness buildup,,,
Rejuvenating Boluses,Alleviates death blight buildup,Removes deathblight buildup,,,
Spellproof Dried Liver,Temporarily boosts magic damage negation,Increases magic damage negation by 15% (10% in PvP) for 120 seconds,,,
Spellproof Pickled Liver,Temporarily grants large boost to magic damage negation,Increases magic damage negation by 25% (12% in PvP) for 120 seconds,,,
Fireproof Dried Liver,Temporarily boosts fire damage negation,Increases fire damage negation by 15% (10% in PvP) for 120 seconds,,,
Fireproof Pickled Liver,Temporarily grants large boost to fire damage negation,Increases fire damage negation by 25% (12% in PvP) for 120 seconds,,,
Lightningproof Dried Liver,Temporarily boosts lightning damage negation,Increases lightning damage negation by 15% (10% in PvP) for 120 seconds,,,
Lightningproof Pickled Liver,Temporarily grants large boost to lightning damage negation,Increases lightning damage negation by 25% (12% in PvP) for 120 seconds,,,
Holyproof Dried Liver,Temporarily boosts holy damage negation,Increases holy damage negation by 35% (10% in PvP) for 120 seconds,,,
Holyproof Pickled Liver,Temporarily grants large boost to holy damage negation,Increases holy damage negation by 25% (12% in PvP) for 120 seconds,,,
Opaline Pickled Liver,,Increases elemental damage negations by 18% (6% in PvP) for 120 seconds,,,
Immunizing Cured Meat,Temporarily boosts immunity,Increases immunity by 100 for 60 seconds,,,
Invigorating Cured Meat,Temporarily boosts robustness,Increases robustness by 100 for 60 seconds,,,
Clarifying Cured Meat,,Increases focus by 100 for 60 seconds,,,
Dappled Cured Meat,"Temporarily boosts immunity, robustness, and focus","Increases immunity, robustness, and focus by 100 for 60 seconds",,,
Immunizing White Cured Meat,Temporarily boosts immunity,Increases immunity by 75 for 120 seconds,,,
Invigorating White Cured Meat,Temporarily boosts robustness,Increases robustness by 75 for 120 seconds,,,
Clarifying White Cured Meat,Temporarily boosts focus,Increases focus by 75 for 120 seconds,,,
Dappled White Cured Meat,"Temporarily boosts immunity, robustness, and focus","Increases immunity, robustness, and focus by 75 for 120 seconds",,,
Pickled Turtle Neck,Temporarily boosts stamina recovery,Increases stamina regeneration by 10/s for 60 seconds,,,
Well-Pickled Turtle Neck,Temporarily grants large boost to stamina recovery speed,Increases stamina regeneration by 13/s for 60 seconds,,,
Exalted Flesh,Temporarily boosts physical attack,Increases physical damage by 1.2x (1.15x in PvP) for 30 seconds,,,
Dragon Communion Flesh,,"Increases vigor, endurance, strength, and dexterity by 6, but drains 3 HP/s for 90 seconds",,,
Dragonscale Flesh,,"Increases vigor, endurance, strength, and dexterity by 8, but drains 4 HP/s for 90 seconds",,,
Fingerprint Nostrum,,"Increases mind, intelligence, faith, and arcane by 6, but drains 3 HP/s for 90 seconds",,,
Silver-Pickled Fowl Foot,Temporarily boosts item discovery,Increases discovery by 50 for 180 seconds,,,
Gold-Pickled Fowl Foot,Boosts rune acquisition for a time,Increases runes gained by 1.3x runes for 180 seconds,,,
Silver Horn Tender,Temporarily boosts item discovery,Increases discovery by 60 for 180 seconds,,,
Golden Horn Tender,Boosts rune acquisition for a time,Increases runes gained by 1.4x runes for 180 seconds,,,
Boiled Prawn,Boosts physical damage negation for a time,Increases physical damage negations by 15% (10% in PvP) for 60 seconds,,,
Boiled Crab,Greatly boosts physical damage negation for a time,Increases physical damage negations by 20% (15% in PvP) for 60 seconds,,,
Scorpion Stew,,Increases physical damage negations by 10% (8% in PvP) and regenerates 8 HP/s for 60 seconds,,,
Gourmet Scorpion Stew,,Increases physical damage negations by 10% (8% in PvP) and regenerates 12 HP/s for 60 seconds,,,
Raw Meat Dumpling,Restores HP but also poisons the user,"Restores ⌊MaxHP * 0.5⌋ HP, but poisons the user",,,Poison damages ⌊MaxHP * 0.0007⌋ + 7 health per second for 90 seconds
Sacred Bloody Flesh,,Increases damage by 1.07x and arcane by 10 for for 30 seconds; increases damage further by 1.18x when bleed is triggered within 7m,,,
Scriptstone,,,,,
Warming Stone,Uses FP to continuously heal nearby allies,Regenerates 25 HP/s while within 3m; lasts for 30 seconds,,,Costs 20 FP
Sunwarmth Stone,,Regenerates 30 HP/s while within 3m; lasts for 30 seconds,,,
Frenzyflame Stone,Uses FP to continuously heal chaos followers,"Regenerates 35 HP/s while within 3m, but applies 15 madness buildup per second to those not aligned with the frenzy flame; lasts for 30 seconds",,,Costs 15 FP
Bewitching Branch,,Allies the target for 180 seconds,,,
Charming Branch,,Allies the target and surrounding targets within 5.3m for 180 seconds,,,
Golden Vow,,Increases damage by 1.127x (1.05x in PvP) and damage negations by 8.8% (3.3% in PvP) for 45 seconds,,,
Baldachin's Blessing,,"Increases physical damage negations by 35% (10% in PvP), decreases incoming poise damage by 0.66x, and prevents stagger from dmgLevel 0, 1, and 8 for 15 seconds",,,
Radiant Baldachin's Blessing,,"Increases physical damage negations by 35% (10% in PvP), decreases incoming poise damage by 0.55x, and prevents stagger from dmgLevel 0, 1, and 8 for 70 seconds",,,
Ancient Dragon's Blessing,,Increases damage negations by 10% (5% in PvP) and increases guard damage negations by 20% for 70 seconds,,,
Fire Grease,"Coats armament, inflicting fire damage",Adds 85 fire attack power to weapon for 60 seconds,,,
Messmerfire Grease,"Coats armament, inflicting heavy fire damage",Adds 120 fire attack power to weapon for 60 seconds,,,
Magic Grease,"Coats armament, inflicting magic damage",Adds 85 magic attack power to weapon for 60 seconds,,,
Royal Magic Grease,,Adds 120 magic attack power to weapon for 60 seconds,,,
Lightning Grease,"Coats armament, inflicting lightning damage",Adds 85 lightning attack power to weapon for 60 seconds,,,
Dragonbolt Grease,,Adds 120 lightning attack power to weapon for 60 seconds,,,
Holy Grease,"Coats armament, inflicting holy damage",Adds 85 holy attack power to weapon for 60 seconds,,,
Golden Grease,,Adds 120 holy attack power to weapon for 60 seconds,,,
Festive Grease,,Adds 100 holy attack power to weapon and gives 25 runes on hit for 60 seconds,,,
Poison Grease,"Coats armament, inflicting poison",Adds 63 poison buildup to weapon for 60 seconds,,,Poison damages ⌊MaxHP * 0.0007⌋ +7 health per second for 90 seconds
Rot Grease,"Coats armament, inflicting scarlet rot",Adds 63 scarlet rot buildup to weapon for 60 seconds,,,Scarlet rot damages ⌊MaxHP * 0.0018⌋ + 15 health per second for 90 seconds
Blood Grease,"Coats armament, inflicting blood loss",Adds 30 bleed buildup to weapon for 60 seconds,,,Bleed damages ⌊MaxHP * 0.15⌋ + 100 health
Freezing Grease,"Coats armament, inflicting frost",Adds 63 frost buildup to weapon for 60 seconds,,,Frost damages ⌊MaxHP * 0.1⌋ + 30 health and reduces damage negations by -20% for 30 seconds
Soporific Grease,"Coats armament, inflicting sleep",Adds 33 sleep buildup to weapon for 60 seconds,,,Sleep drains ⌊MaxFP * 0.1⌋ + 30 FP
Eternal Sleep Grease,,Adds 28 eternal sleep buildup to weapon for 60 seconds,,,
Dragonwound Grease,"Coats armament, granting special dragon attacks",Increases damage by 1.2x to Ancient Draconic enemies and 1.3x to Draconic enemies for 60 seconds,,,
Dragon Communion Grease,,Increases damage by 1.28x to Ancient Draconic enemies and 1.38x to Draconic enemies for 60 seconds,,,
Shield Grease,Boosts guarding ability and all damage negation,Increases guard damage negations by 20% and decreases incoming stamina damage by 0.65x for 60 seconds,,,
Drawstring Fire Grease,"Quickly coats armament, inflicting fire damage",Adds 110 fire attack power to weapon for 11 seconds,,,
Drawstring Messmerfire Grease,,Adds 135 fire attack power to weapon for 25 seconds,,,
Drawstring Magic Grease,"Quickly coats armament, inflicting magic damage",Adds 110 magic attack power to weapon for 11 seconds,,,
Drawstring Royal Magic Grease,,Adds 135 magic attack power to weapon for 25 seconds,,,
Drawstring Lightning Grease,"Quickly coats armament, inflicting lightning damage",Adds 110 lightning attack power to weapon for 11 seconds,,,
Drawstring Dragonbolt Grease,,Adds 135 lightning attack power to weapon for 25 seconds,,,
Drawstring Holy Grease,"Quickly coats armament, inflicting holy damage",Adds 110 holy attack power to weapon for 11 seconds,,,
Drawstring Golden Grease,,Adds 135 holy attack power to weapon for 25 seconds,,,
Drawstring Poison Grease,"Quickly coats armament, inflicting poison",Adds 80 poison buildup to weapon for 15 seconds,,,Poison damages ⌊MaxHP * 0.0007⌋ + 7 health per second for 90 seconds
Drawstring Rot Grease,"Quickly coats armament, inflicting scarlet rot",Adds 80 scarlet rot buildup to weapon for 11 seconds,,,Scarlet rot damages ⌊MaxHP * 0.0018⌋ + 15 health per second for 90 seconds
Drawstring Blood Grease,"Quickly coats armament, inflicting blood loss",Adds 38 bleed buildup to weapon for 15 seconds,,,Bleed damages ⌊MaxHP * 0.15⌋ + 100 health
Drawstring Soporific Grease,"Quickly coats armament, inflicting sleep",Adds 42 sleep buildup to weapon for 15 seconds,,,Sleep drains ⌊MaxFP * 0.1⌋ + 30 FP
Drawstring Eternal Sleep Grease,,Adds 37 eternal sleep buildup to weapon for 25 seconds,,,
Rowa Raisin,"On horseback, feed to Torrent to restore HP",Restores ⌊MaxHP * 0.15⌋ + 300 HP to Torrent,,,
Sweet Raisin,"On horseback, feed to Torrent to greatly restore HP",Restores ⌊MaxHP * 0.23⌋ + 450 HP to Torrent,,,
Frozen Raisin,"On horseback, feed to Torrent to vastly restore HP",Restores ⌊MaxHP * 0.3⌋ + 600 HP to Torrent,,,
Spirit Raisin,,While sprinting on Torrent enemies will be pushed back,,,
Soft Cotton,Temporarily reduces fall damage and sound,Makes user silent protects from non-lethal fall damage for 20 seconds,,,
Soap,Cleans off filth and other accumulations on the body while also slightly reducing poison buildup,Removes blood vfx and reduces poison buildup by -100,,,
Rock Heart (Form Change),,Increases damage negations by 10% and increases all resistances by 50,,,
Rock Heart (Buff),,Increases damage by 1.2x (holy bugged in PvP: 1x) with Dragon Communion incantations for 60 seconds,,,
Priestess Heart (Form Change),,Increases damage negations by 7% and increases all resistances by 70,,,
Priestess Heart (Buff),,Increases damage by 1.2x (holy bugged in PvP: 1x) with Dragon Cult incantations for 60 seconds,,,
Lamenter's Mask (Form Change),,"Increases damage negations by 5% (holy by 20%), increases immunity/robustness/vitality by 30, and increases arcane by 8, but decreases Flask of Crimson Tears restoration by ⌊0.91x⌋ and decreases focus by -50",,,
Albinauric Pot,Throw at enemies to impede recovery actions using a flask of tears for a certain duration,Prevents target from using Crimson/Cerulean Flasks for duration,,25,
Oil Pot,"Throw at enemies to soak them in oil, making them heavily susceptible to fire damage",Reduces target fire damage negation by -50%,,30,
Roped Oil Pot,"Throw at rearward enemies to soak them in oil, making them heavily susceptible to fire damage",Reduces target fire damage negation by -50%,,30,
Hefty Oil Pot,,Reduces target fire damage negation by -65%,,,
