Weapon Class,Weapon,Effect,Notes
Dagger,Celebrant's Sickle,Gain 10 runes on hit,
Dagger,Cinquedea,Increases damage by 1.1x (holy bugged in PvP: 1x) with bestial incantations,
Straight Sword,Golden Epitaph,Increases damage by 1.3x to Those Who Live in Death enemies,
Greatsword,Inseparable Sword,Increases damage by 1.2x to Those Who Live in Death enemies,
Greatsword,Sword of Milos,Restores 5 FP when an enemy dies,
Greatsword,Alabaster Lord's Sword,Increases damage by 1.2x to Void enemies,
Greatsword,Blasphemous Blade,Restores ⌊MaxHP * 0.04⌋ + 40 HP when an enemy dies,
Greatsword,Golden Order Greatsword,Increases damage by 1.2x to Those Who Live in Death enemies,
Colossal Sword,Starscourge Greatsword,Increases damage by 1.3x to Void enemies,
Thrusting Sword,Carian Sorcery Sword,,
Heavy Thrusting Sword,Dragon King's Cragblade,Increases damage by 1.15x to Ancient Draconic enemies and 1.3x to Draconic enemies,
Curved Sword,Serpent-God's Curved Sword,Restores ⌊MaxHP * 0.025⌋ + 25 HP when an enemy dies,
Curved Sword,Wing of Astel,Increases damage by 1.2x to Void enemies,
Curved Greatsword,Freyja's Greatsword,Increases damage by 1.1x (1.07x in PvP)  with Redmane battle skills,
Curved Greatsword,Onyx Lord's Greatsword,Increases damage by 1.2x to Void enemies,
Katana,Meteoric Ore Blade,Increases damage by 1.2x to Void enemies,
Katana,Dragonscale Blade,Increases damage by 1.1x to Ancient Draconic enemies and 1.2x to Draconic enemies,
Great Katana,Dragon-Hunter's Great Katana,Increases damage by 1.15x to Ancient Draconic enemies and 1.3x to Draconic enemies,
Great Katana,Rakshasa's Great Katana,"Gains hyper armor frames during attacks, but decreases damage negations by -10%",
Twinblade,Euporia,"Gains ""Luster"" tier 1 at 25 accumuVal (adds 95 holy attack power) and ""Luster"" tier 2 at 50 accumuVal (adds 120 holy attack power); ""Luster"" tier lingers for 30 seconds",accumuVal information
Axe,Highland Axe,Increases damage by 1.1x (holy bugged in PvP: 1x) with roar attacks and Shriek of Milos,
