Name,Icon,Info 1,Info 2,Caption,Drop Type,No. Held Max,Storage Max,Sell Price,ID,Icon ID,Sort Group ID,Sort ID
Sliver of Meat,,Material used for crafting items,Found by hunting herbivorous beasts,"A slice of thinly carved beast flesh.
Material used for crafting items.
Found by hunting herbivorous beasts.

The dried meat toughens the constitution.",White (Small),999,999,10,15000,00506,10,100000
Strip of White Flesh,,Material used for crafting items,Found by hunting creatures bloodless creatures,"Thin strips of flesh taken from a bloodless creature.
Material used for crafting items.

The dried meat toughens the constitution, boosting resistance. It's known for its long-lasting effect.",White (Small),999,999,10,15160,00522,10,100010
Beast Liver,,Material used for crafting items,Found by hunting herbivorous beasts,"The fresh liver of a beast; a luscious fruit of life.
Material used for crafting items.
Found by hunting herbivorous beasts.

Dried liver boosts damage negation.",White (Small),999,999,10,15010,00507,10,100020
Lump of Flesh,,Material used for crafting items,Found by hunting carnivorous beasts,"A lump of beast flesh filled with rich juices.
Material used for crafting items.
Found by hunting carnivorous beasts.

Meat suitable for a rustic feast.",White (Small),999,999,10,15020,00508,10,100030
Turtle Neck Meat,,Material used for crafting items,Found by hunting turtles,"A splendid, lengthy cut of turtle neck meat.
Material used for crafting items.

Considered an especially nutritious ingredient In the south of the Lands Between.",White (Small),999,999,10,15090,00515,10,100040
Beast Blood,,Material used for crafting items,Found by hunting carnivorous beasts,"Fresh beast blood, glinting with gold.
Material used for crafting items.
Found by hunting carnivorous beasts.

This glimmering blood never rots or decays.",White (Small),999,999,50,15030,00509,10,100050
Albinauric Bloodclot,,Material used for crafting items,Found by killing Albinaurics,"The thick, coagulated blood of the Albinaurics.
Material used for crafting items.

Albinaurics are lifeforms made by human hands.
Thus, many believe them to live impure lives, untouched by the Erdtree's grace.",White (Large),999,999,100,15420,01029,10,100060
Budding Horn,,Material used for crafting items,Found by hunting herbivorous beasts,"A rarely-seen specimen of a young, budding horn.
Material used for crafting items.
Found by hunting herbivorous beasts.

This horn began to sprout on a beast that typically bears no horn. Perhaps it's a vestige of the primordial crucible.",White (Large),999,999,100,15050,00511,10,100070
Old Fang,,Material used for crafting items,Found by hunting carnivorous beasts,"A rarely-seen specimen of beast fang.
Material used for crafting items.
Found by hunting carnivorous beasts.

These multiple, overlapping fangs grow from a single root. Perhaps they're a vestige of the primordial crucible.",White (Large),999,999,50,15040,00510,10,100080
Flight Pinion,,Material used for crafting items,Found by hunting birds,"Flight feather of birds.

Material used for crafting items.

Commonly used for arrow fletchings.",White (Small),999,999,10,15060,00512,10,100090
Stormhawk Feather,,Material used for crafting items,Found by killing stormhawks,"A feather from a hawk that lived as one with the storms.
Material used for crafting items.

These feathers, enveloped in swirling winds, are often used for arrow fletching.",White (Large),999,999,50,15430,01047,10,100100
Four-Toed Fowl Foot,,Material used for crafting items,Found by hunting birds,"A four-toed fowl's foot.
Material used for crafting items.

In the Lands Between, having three digits is seen as a bad omen. As such, the four-toed fowl's foot is a gift of great luck indeed.",White (Small),999,999,10,15080,00514,10,100110
Slumbering Egg,,Material used for crafting items,Found by hunting owls,"Owl eggs that will never hatch.
Material used for crafting items.

Prized as a symbol of the most sublime slumber.",White (Small),999,999,10,15120,00518,10,100120
Crab Eggs,,Material used for crafting items,Found by hunting large crabs,"Eggs of large crabs which dwell in the shallows.
Material used for crafting items.

A nutritious foodstuff that warms from within.
The flavor is exquisite.
Only those of comfort and means know the truth:
a crab's eggs are more delectable than its meat.",White (Small),999,999,10,15130,00519,10,100130
Land Octopus Ovary,,Material used for crafting items,Found by hunting land octopuses,"Puffy, milky white ovary of a land octopus.
Material used for crafting items.

Land octopuses eat humans in order to bear young, and theirs is the blood that runs through these ovaries.",White (Small),999,999,10,15140,00520,10,100140
Thin Beast Bones,,Material used for crafting items,Found by hunting beasts,"Thin, hard beast bones.
Material used for crafting items.
Found by hunting beasts.

Commonly used to make disposable weapons.",White (Small),999,999,10,15340,00540,10,100150
Hefty Beast Bone,,Material used for crafting items,Found by hunting particularly large beasts,"Thick, solid beast bones.
Material used for crafting items.
Found by hunting particularly large beasts.

Commonly used to make disposable weapons.",White (Small),999,999,10,15341,01020,10,100160
Human Bone Shard,,Material used for crafting items,Found by hunting Those Who Live in Death,"Fragment of bone with dun mottling.
Material used for crafting items.
Found by hunting Those Who Live in Death.

Lamentably brittle, it crumbles at the lightest caress.",White (Small),999,999,10,15100,00516,10,100170
Great Dragonfly Head,,Material used for crafting items,Found by hunting large dragonflies,"Head of a large dragonfly.
Material used for crafting items.

Long believed to have the ability to neutralize poisons.",White (Small),999,999,10,15110,00517,10,100180
Gold Firefly,,Material used for crafting items,Found near waters close to Minor Erdtrees,"Firefly that gives off a golden light.
Material used in crafting items.
Found near bodies of water close to Minor Erdtrees.

The light of fireflies is believed to have an alluring magic. Golden light is considered to invite runes.",White (Large),999,999,10,20811,01019,10,100190
Silver Firefly,,Material used for crafting items,Found near cold waters untouched by sunlight,"Firefly that gives off a silvery light.
Material used in crafting items.
Found near bodies of cold water untouched by sunlight.

The light of fireflies is believed to have an alluring magic. Silver light is considered to invite riches.",White (Large),999,999,10,20810,01018,10,100200
Glintstone Firefly,,Material used for crafting items,Widely found in Liurnia Lake,"A firefly whose glowing tail has hardened into
glintstone, widely found in Liurnia Lake.
Material used for crafting items.

Alas, now that its tail is glintstone,
it can no longer beguile potential mates.",White (Small),999,999,10,20812,01045,10,100210
Smoldering Butterfly,,Material used for crafting items,Found near wildfires and elsewhere,"An eternally burning butterfly found near wildfires and elsewhere.
Material used for crafting items.

Serves as the kindling for a number of items.",White (Small),999,999,10,20802,01034,10,100220
Aeonian Butterfly,,Material used for crafting items,Found in the Swamp of Aeonia,"A butterfly with withered, scarlet wings found in the Swamp of Aeonia.

Material used for crafting items.

According to myth, these butterflies were once the wings of the Goddess of Rot herself.",Purple,999,999,100,20801,01015,10,100230
Nascent Butterfly,,Material used for crafting items,Exceedingly rare to find,"An arcane butterfly with translucent wings.
Material used for crafting items. Exceedingly rare to find.

This butterfly appears as if it's just emerged from its cocoon for its entire life.",Purple,999,999,100,20800,01043,10,100240
Golden Centipede,,Material used for crafting items,Found near churches and similar,"The golden, desiccated remains of a centipede.
Material used for crafting items.

Kept as a fetish by Golden Order fundamentalists, especially the hunters of Those Who Live in Death.
As such, they're found near churches and similar.",Purple,999,999,100,20820,01030,10,100250
Living Jar Shard,,Material used for crafting items,Found by killing living jars,"A fragment of a living jar, hardened after its death.
Material used for crafting items.

Such fragments command a high price due to the magical power locked within. This leaves the living jars unfortunate targets for poachers.",White (Large),999,999,200,15410,01026,10,100260
Silver Tear Husk,,Material used for crafting items,Found in and around the Eternal City,"A hardened husk shed by a formless life form known as the Silver Tear, found in and around the Eternal City.
Material used for crafting items.

The Silver Tear makes mockery of life, reborn again and again into imitation.
Perhaps, one day, it will be reborn a lord...",White (Large),999,999,10,20825,01037,10,100270
Gold-Tinged Excrement,,Material used for crafting items,Often hidden in woods and thickets,"Someone's excrement. It has a golden tinge.
Material used for crafting items.
Often hidden in woods and thickets.

Gold-tinged excrement is a highly stable substance; it doesn't dry out, nor does it lose its customary warmth or scent. For better or for worse, it remains as it is.",White (Small),999,999,10,20830,00538,10,100280
Blood-Tainted Excrement,,Material used for crafting items,Found in the land of the new dynasty,"The bloody excrement of a carnivorous beast.
Material used for crafting items.
Found in the land of the new dynasty.

Mixed inside with half-digested flesh are dense colonies of tiny eggs of unknown but assuredly revolting origin.",White (Small),999,999,10,20831,00539,10,100290
