Name,Icon,Info,Caption,Drop Type,Lost in NG+,Obtainable,Goods Type,Version Added,ID,Icon ID,Sort Group ID,Sort ID
Note: Flask of Wondrous Physick,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""A Flask of Wondrous Physick still remains in the Third Church of Marika, north of the Mistwood.

Cross the highway bridge and follow the animal trail north.""",Purple,No,Yes,12,1.00,8702,00288,10,450000
Note: Waypoint Ruins,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Someone lurks among the waypoint ruins on the roads through Limgrave.""",Purple,No,Yes,12,1.00,8712,00288,10,450010
Note: Gateway,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Fort Gael in Caelid houses a gateway that leads to Redmane Castle.""",Purple,No,Yes,12,1.00,8713,00298,10,450020
Note: Hidden Cave,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""There is a hidden cave in the town of Sellia.
Look beyond the graveyard at the precipice.""",Purple,No,Yes,12,1.00,8700,00298,10,450030
Note: The Preceptor's Secret,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Preceptor Seluvis is hiding a dirty secret in a cellar among the ruins not far from the sisters three.

The vile Graven Witch seems to be a frequent visitor to that place.""",Purple,No,Yes,12,1.03,8224,00292,10,450035
Note: Great Coffins,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Great coffins travel the Lands Between, carrying the bodies of nameless fallen warriors.

Might be a good source of armaments...""",Purple,No,Yes,12,1.00,8706,00294,10,450040
Note: Below the Capital,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Below the royal capital of Leyndell is a vast network of sewers.

The well in the city below reaches deep into its tunnels.""",Purple,No,Yes,12,1.03,8717,00294,10,450040
Note: Gravity's Advantage,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Gravitational power that pulls can bring flying foes low.""",Purple,No,Yes,12,1.00,8710,00290,10,450050
Note: Demi-human Mobs,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Slay the demi-human mob's leader first, and the rest will lose hope and panic.""",Purple,No,Yes,12,1.00,8708,00291,10,450060
Note: Land Squirts,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Land squirts are soft where they touch the ground, and poison will cause them to rupture.""",Purple,No,Yes,12,1.00,8709,00291,10,450070
Note: Stonedigger Trolls,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""The heads of the stonedigger trolls bear old wounds.""",Purple,No,Yes,12,1.00,8703,00291,10,450080
Note: Revenants,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""The crawling royal revenants and their followers are all cursed.

Healing powers will harm rather than mend.""",Purple,No,Yes,12,1.00,8711,00292,10,450090
Note: Flame Chariots,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Beware the Fire Monks' chariots bearing the faces of giants.

A well-aimed blow to the chimney on top may prove effective, but opportunities for a plunging attack will be rare indeed.""",Purple,No,Yes,12,1.00,8707,00291,10,450100
Note: Walking Mausoleum,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""To stop the mausoleum's stride, you'll need to clean up around its feet first.""",Purple,No,Yes,12,1.00,8704,00298,10,450110
Note: Unseen Assassins,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Some assassins cannot be seen with the naked eye.

Seems the Erdtree sentries once carried torches that could cast light on these prowlers.""",Purple,No,Yes,12,1.00,8705,00291,10,450120
Note: Imp Shades,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Nothing can touch the shades of imps in the heroes' graveyard.

Only Rosus's light can give them form.""",Purple,No,Yes,12,1.00,8701,00291,10,450130
Note: Frenzied Flame Village,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""South of the Grand Lift of Dectus lies the Frenzied Flame Village, inhabited by the sick. Stay well away.""",Purple,No,Yes,12,1.00,8715,00292,10,450140
Note: The Lord of Frenzied Flame,#REF!,Note imparting knowledge in brief Examine using <Examine>,"Note sold by a nomadic merchant imparting knowledge in brief.

""Beneath Leyndell, at the very bottom lies our lord, lord of the frenzied. The Three Fingers who holds us in thrall.""",Purple,No,Yes,12,1.00,8716,00298,10,450150
