Name,Type,Icon,Info,Caption,Required (Int),Required (Fai),Required (Arc),Slots Used,FP Cost,FP Cost (Continuous),Stamina Cost,Base Poison Build-up,Base Rot Build-up,Base Blood Build-up,Base Frost Build-up,Base Sleep Build-up,Base Death Blight Build-up,Base Death Blight Build-up (Charged),Base Madness Build-up,Base Madness Build-up (Charged),Base Madness Build-up (Self),Base Madness Build-up (Self; Charged),Damage Boosted By 1,Damage Boosted By 2,Weapon Buff,Shield Buff,Drop Type,Achievement,Usable while Riding,Item Type,ID,Icon ID,AtkParam ID,SpEffect Category,Conditional Weapon Effect,Sort Group ID,Sort ID
Glintstone Pebble,Sorcery,#REF!,Fires magic projectiles from glintstone,"The most basic glintstone sorcery of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching magical projectiles at foes.
This sorcery can be cast repeatedly and while in motion.

This is a universal first step on the journey to true knowledge of sorcery.",10,0,0,1,7,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4000,06000,40000,3,0,10,250000
Swift Glintstone Shard,Sorcery,#REF!,Swiftly fires magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching swift magical projectiles at foes.
This sorcery can be used without delay after performing another action.

Those unworthy of the stone crown typically end their brief journey into sorcery here.",12,0,0,1,5,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4010,06001,40100,3,0,10,250010
Great Glintstone Shard,Sorcery,#REF!,Fires larger magic projectiles from glintstone,"One of the glintstone sorceries of the Academy of Raya Lucaria.

The glintstone serves as a conduit, launching large magical projectiles at foes.
This sorcery can be cast repeatedly and while in motion.

Those unworthy of the stone crown typically end their brief journey into sorcery here.",16,0,0,1,12,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4001,06015,40010,3,0,10,250020
Glintstone Cometshard,Sorcery,#REF!,Fires a magic comet with a trailing tail,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a magical comet with a trailing tail.
This sorcery can be cast repeatedly and while in motion. Charging enhances potency.

A sorcery of the Karolos Conspectus, the most venerable of the academy.",36,0,0,1,17,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4020,06002,40201,3,6,10,250030
Comet,Sorcery,#REF!,Fires a great magic comet,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a great magical comet.
This sorcery can be cast repeatedly and while in motion. Charging enhances potency.

The greatest of the Karolos Conspectus's sorceries, that only a very few sorcerers have ever mastered.",52,0,0,1,24,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4021,06003,40211,3,6,10,250040
Shard Spiral,Sorcery,#REF!,Fires twin spiraling projectiles,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires twin projectiles that form a spiral as they travel. This sorcery can be cast repeatedly and while in motion.
Charging enhances potency.

A sorcery of the Karolos Conspectus, the most venerable of the academy. This was the product of a failed attempt to create a new comet.",27,0,0,1,14,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4030,06004,40301,3,0,10,250050
Glintstone Stars,Sorcery,#REF!,Fires three shooting stars that pursue foes,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires three magic shooting stars that pursue the target.
This sorcery can be cast while in motion. Charging enhances potency.

A sorcery of the Olivinus Conspectus, which attracts sorcerers from Sellia, Town of Sorcery.",12,0,0,1,12,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4040,06010,40407,3,7,10,250060
Star Shower,Sorcery,#REF!,Fires six shooting stars that pursue foes,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires six magic shooting stars that pursue the target.
This sorcery can be cast while in motion. Charging enhances potency.

The most difficult to master of the Olivinus Conspectus sorceries.",24,0,0,1,23,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,Purple,No,Yes,5,4050,06016,40515,3,7,10,250070
Glintstone Arc,Sorcery,#REF!,Fires a horizontally-widening magic arc,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a horizontal arc of magic that spreads outward.
This sorcery can be cast repeatedly and while in motion.

Granted to sorcerers who depart from the academy to embark on journeys, in order to fend off large groups of would-be adversaries. Fools often roam in packs.",13,0,0,1,9,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4070,06014,40070,3,0,10,250080
Crystal Barrage,Sorcery,#REF!,Fires a volley of glintstone crystal shards,"One of the glintstone sorceries of the Academy of Raya Lucaria.

Fires a volley of glintstone crystal shards.
Charging increases potency.

A sorcery of the Crystal Cadre, a group of sorcerers who pursue the wisdom of stone—the secrets locked in the faint cogitation of the Crystalians.",23,0,0,1,14,2,26,-,-,-,-,-,-,-,-,-,-,-,-,-,No,No,White,No,Yes,5,4060,06009,40601,3,0,10,250090
