Name,Ash Name,Icon,Upgrade,Info 1,Info 2,Caption,FP Cost,HP Cost,HP,Defense,Standard Negation,Slash Negation,Strike Negation,Pierce Negation,Magic Negation,Fire Negation,Lightning Negation,Holy Negation,Poison,Rot,Blood,Frost,Sleep,Madness,Death Blight,Upgrade Type,Upgrade Cost,Drop Type,Achievement,NPC ID,ReinforcementSpEffect ID,ID,Ash ID,Icon ID,Sort Group ID,Sort ID
Wandering Noble Ashes,Wandering Noble Ashes,#REF!,0,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,429,100,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,168,IMMUNE,IMMUNE,Ashes,135,1,No,143000000,290000,240000,240,106,10,50000
Wandering Noble Ashes +1,Wandering Noble Ashes,#REF!,1,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,550,102,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,170,IMMUNE,IMMUNE,Ashes,189,1,No,143000000,290001,240001,240,106,10,50001
Wandering Noble Ashes +2,Wandering Noble Ashes,#REF!,2,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,778,105,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,173,IMMUNE,IMMUNE,Ashes,243,1,No,143000000,290002,240002,240,106,10,50002
Wandering Noble Ashes +3,Wandering Noble Ashes,#REF!,3,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,972,107,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,176,IMMUNE,IMMUNE,Ashes,297,1,No,143000000,290003,240003,240,106,10,50003
Wandering Noble Ashes +4,Wandering Noble Ashes,#REF!,4,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"1,032",109,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,178,IMMUNE,IMMUNE,Ashes,351,1,No,143000000,290004,240004,240,106,10,50004
Wandering Noble Ashes +5,Wandering Noble Ashes,#REF!,5,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"1,153",110,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,179,IMMUNE,IMMUNE,Ashes,405,1,No,143000000,290005,240005,240,106,10,50005
Wandering Noble Ashes +6,Wandering Noble Ashes,#REF!,6,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"1,394",111,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,181,IMMUNE,IMMUNE,Ashes,459,1,No,143000000,290006,240006,240,106,10,50006
Wandering Noble Ashes +7,Wandering Noble Ashes,#REF!,7,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"1,770",114,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,184,IMMUNE,IMMUNE,Ashes,513,1,No,143000000,290007,240007,240,106,10,50007
Wandering Noble Ashes +8,Wandering Noble Ashes,#REF!,8,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"2,353",117,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,187,IMMUNE,IMMUNE,Ashes,567,1,No,143000000,290008,240008,240,106,10,50008
Wandering Noble Ashes +9,Wandering Noble Ashes,#REF!,9,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"2,816",118,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,188,IMMUNE,IMMUNE,Ashes,675,1,No,143000000,290009,240009,240,106,10,50009
Wandering Noble Ashes +10,Wandering Noble Ashes,#REF!,10,Summons five wandering noble spirits,Wandering Nobles,"Ashen remains in which spirits yet dwell.
Use to summon the spirits of five wandering nobles.

The spirits of nobles who, after death, now wander the Lands Between. Surely they were in search of something once—but whatever it was has long been forgotten.",28,-,"2,949",120,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,200,IMMUNE,IMMUNE,Ashes,0,1,No,143000000,290010,240010,240,106,10,50010
Noble Sorcerer Ashes,Noble Sorcerer Ashes,#REF!,0,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,711,100,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,168,IMMUNE,IMMUNE,Ashes,40,1,No,143002000,290000,241000,241,107,10,50100
Noble Sorcerer Ashes +1,Noble Sorcerer Ashes,#REF!,1,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,911,102,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,170,IMMUNE,IMMUNE,Ashes,56,1,No,143002000,290001,241001,241,107,10,50101
Noble Sorcerer Ashes +2,Noble Sorcerer Ashes,#REF!,2,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"1,289",105,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,173,IMMUNE,IMMUNE,Ashes,72,1,No,143002000,290002,241002,241,107,10,50102
Noble Sorcerer Ashes +3,Noble Sorcerer Ashes,#REF!,3,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"1,611",107,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,176,IMMUNE,IMMUNE,Ashes,88,1,No,143002000,290003,241003,241,107,10,50103
Noble Sorcerer Ashes +4,Noble Sorcerer Ashes,#REF!,4,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"1,711",109,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,178,IMMUNE,IMMUNE,Ashes,104,1,No,143002000,290004,241004,241,107,10,50104
Noble Sorcerer Ashes +5,Noble Sorcerer Ashes,#REF!,5,Summons noble sorcerer spirit,Noble Sorcerer,"Ashen remains in which spirits yet dwell.
Use to summon the spirit of a noble sorcerer.

Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries.
His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable of using the most rudimentary sorcery.",11,-,"1,911",110,-10,-10,-10,-10,-20,-20,-20,0,IMMUNE,IMMUNE,IMMUNE,IMMUNE,179,IMMUNE,IMMUNE,Ashes,120,1,No,143002000,290005,241005,241,107,10,50105
